sn2_67029_254bp,10,0.000,0.000
sn2_56536_203bp,10,21.014,21.014
sn2_19647_241bp,10,21.014,21.014
sn2_110357_296bp,10,21.507,21.507
sn2_21474_340bp,10,21.507,21.507
sn2_112258_214bp,10,21.507,21.507
sn2_96746_180bp,10,21.507,21.507
sn2_118128_307bp,10,21.507,21.507
sn2_170801_177bp,10,21.507,21.507
sn2_48963_306bp,10,21.507,21.507
sn2_109849_297bp,10,21.507,21.507
sn2_99947_171bp,10,21.507,21.507
sn2_6412_142bp,10,21.507,21.507
sn2_41063_159bp,10,21.507,21.507
sn2_109800_200bp,10,21.507,21.507
sn2_27640_143bp,10,21.507,21.507
sn2_43770_158bp,10,21.507,21.507
sn2_7080_303bp,10,21.507,21.507
sn2_124190_290bp,10,21.507,21.507
sn2_114592_209bp,10,21.507,21.507
sn2_52997_294bp,10,21.507,21.507
sn2_25411_142bp,10,21.507,21.507
sn2_65_198bp,10,21.507,21.507
sn2_93244_345bp,10,21.507,21.507
sn2_131012_142bp,10,21.507,21.507
sn2_30770_229bp,10,21.507,21.507
sn2_31772_297bp,10,21.507,21.507
sn2_116435_294bp,10,21.507,21.507
sn2_45137_216bp,10,21.507,21.507
sn2_67439_250bp,10,21.507,21.507
sn2_117840_227bp,10,21.507,21.507
sn2_17779_143bp,10,21.507,21.507
sn2_51747_256bp,10,21.507,21.507
sn2_35123_166bp,10,21.507,21.507
sn2_120346_240bp,10,21.507,21.507
sn2_118150_238bp,10,21.507,21.507
sn2_31675_160bp,10,21.507,21.507
sn2_21310_240bp,10,21.507,21.507
sn2_103652_143bp,10,21.507,21.507
sn2_86600_195bp,10,21.507,21.507
sn2_110916_235bp,10,21.999,21.999
sn2_51001_190bp,10,21.999,21.999
sn2_22233_170bp,10,21.999,21.999
sn2_61616_165bp,10,21.999,21.999
sn2_20049_164bp,10,21.999,21.999
sn2_25666_295bp,10,21.999,21.999
sn2_41047_157bp,10,21.999,21.999
sn2_125625_185bp,10,21.999,21.999
sn2_117383_279bp,10,21.999,21.999
sn2_112536_168bp,10,21.999,21.999
sn2_86288_268bp,10,21.999,21.999
sn2_104202_271bp,10,21.999,21.999
sn2_48623_143bp,10,21.999,21.999
sn2_41722_197bp,10,21.999,21.999
sn2_63106_193bp,10,22.492,22.492
sn2_45429_193bp,10,22.492,22.492
sn2_93569_282bp,10,22.984,22.984
sn2_82894_142bp,10,22.984,22.984
sn2_125158_314bp,10,22.984,22.984
sn2_42004_156bp,10,22.984,22.984
sn2_100804_305bp,10,22.984,22.984
sn2_87715_180bp,10,23.477,23.477
sn2_92143_217bp,10,23.477,23.477
sn2_62698_245bp,10,23.477,23.477
sn2_44092_261bp,10,23.477,23.477
sn2_112897_300bp,10,23.477,23.477
sn2_21488_348bp,10,23.477,23.477
sn2_103985_245bp,10,23.477,23.477
sn2_65658_143bp,10,23.477,23.477
sn2_48260_142bp,10,23.477,23.477
sn2_11663_225bp,10,23.477,23.477
sn2_88231_300bp,10,23.477,23.477
sn2_19114_217bp,10,23.477,23.477
sn2_86927_212bp,10,23.477,23.477
sn2_66938_301bp,10,23.477,23.477
sn2_127507_142bp,10,23.970,23.970
sn2_59935_239bp,10,23.970,23.970
sn2_81136_322bp,10,23.970,23.970
sn2_11768_167bp,10,23.970,23.970
sn2_78482_280bp,10,23.970,23.970
sn2_67370_297bp,10,23.970,23.970
sn2_24654_153bp,10,23.970,23.970
sn2_32218_183bp,10,23.970,23.970
sn2_120004_142bp,10,23.970,23.970
sn2_87525_206bp,10,23.970,23.970
sn2_72151_272bp,10,23.970,23.970
sn2_123910_294bp,10,23.970,23.970
sn2_95402_351bp,10,23.970,23.970
sn2_114412_245bp,10,23.970,23.970
sn2_9349_195bp,10,23.970,23.970
sn2_87345_186bp,10,23.970,23.970
sn2_71987_201bp,10,23.970,23.970
sn2_88705_304bp,10,23.970,23.970
sn2_111110_223bp,10,24.462,24.462
sn2_66869_370bp,10,23.970,23.970
sn2_20542_250bp,10,23.970,23.970
sn2_114259_362bp,10,23.970,23.970
sn2_113717_269bp,10,23.970,23.970
sn2_86852_142bp,10,23.970,23.970
sn2_126470_224bp,10,24.462,24.462
sn2_115957_288bp,10,24.462,24.462
sn2_95508_294bp,10,24.462,24.462
sn2_118800_309bp,10,24.462,24.462
sn2_118259_236bp,10,24.462,24.462
